kanjiID,kanji,authorsNote,onyomiReadingOne,onyomiReadingTwo,onyomiReadingThree,onyomiVocabWordOne,onyomiVocabWordReadingOne,onyomiVocabWordMeaningOne,onyomiSampleSentenceOne,onyomiSampleSentenceMeaningOne,onyomiVocabWordTwo,onyomiVocabWordReadingTwo,onyomiVocabWordMeaningTwo,onyomiSampleSentenceTwo,onyomiSampleSentenceMeaningTwo,onyomiVocabWordThree,onyomiVocabWordReadingThree,onyomiVocabWordMeaningThree,onyomiSampleSentenceThree,onyomiSampleSentenceMeaningThree,onyomiVocabWordFour,onyomiVocabWordReadingFour,onyomiVocabWordMeaningFour,onyomiSampleSentenceFour,onyomiSampleSentenceMeaningFour,onyomiVocabWordFive,onyomiVocabWordReadingFive,onyomiVocabWordMeaningFive,onyomiSampleSentenceFive,onyomiSampleSentenceMeaningFive,onyomiVocabWordSix,onyomiVocabWordReadingSix,onyomiVocabWordMeaningSix,onyomiSampleSentenceSix,onyomiSampleSentenceMeaningSix,onyomiMultipleChoiceReadingOne,onyomiMultipleChoiceReadingTwo,onyomiMultipleChoiceReadingThree,onyomiMultipleChoiceReadingFour,onyomiMultipleChoiceReadingFive,onyomiMultipleChoiceReadingSix,furiganaOnyomiSampleSentenceOne,furiganaOnyomiSampleSentenceTwo,furiganaOnyomiSampleSentenceThree,furiganaOnyomiSampleSentenceFour,furiganaOnyomiSampleSentenceFive,furiganaOnyomiSampleSentenceSix,associatedLevel
11,学,None,がく,None,None,学生,がくせい,Student,学生は大変だな。,Being a student is tough.,学校//こう//,がっこう,School,学校を卒業した後、会社員になった。,"After graduating from school, I became a company employee.",中学校//こう//,ちゅうがっこう,"Junior high school, Middle School",中学校に入学する,Enroll in junior high school.,,,,,,,,,,,,,,,,"がく,こく,さく,らく","がっ,けん,ごく,せい","がっ,きゅう,かく,けん",,,,"[{'学生': 'がくせい'}, {'大変': 'たいへん'}]","[{'学校': 'がっこう'}, {'卒業': 'そつぎょう'}, {'後': 'あと'}, {'会社員': 'かいしゃいん'}]","[{'中学校': 'ちゅうがっこう'}, {'入学': 'にゅうがく'}]",,,,1
12,出,None,しゅつ,None,None,出場//じょう//する,しゅつじょうする,To participate,彼は大会に出場した。,He participated in the tournament.,,,,,,,,,,,,,,,,,,,,,,,,,,"しゅつ,しゅう,しゅ,さつ",,,,,,"[{'彼': 'かれ'}, {'大会': 'たいかい'}, {'出場': 'しゅつじょう'}]",,,,,,1
13,三,None,さん,None,None,三,さん,Three,コーヒーを三杯ください。,Please give me three cups of coffee.,三人,さんにん,Three People,三人でレストランに行きました。,The three of us went to a restaurant.,三時//じ//,さんじ,Three o'clock,三時はおやつの時間です。,Three o'clock is snack time.,,,,,,,,,,,,,,,,"さん,じん,かん,せん","さん,じん,かん,せん","さん,し,よん,に",,,,"[{'三': 'さん'}, {'杯': 'ばい'}]","[{'三人': 'さんにん'}, {'行': 'い'}]","[{'三': 'さん'}, {'時': 'じ'}, {'時間': 'じかん'}]",,,,1
14,見,None,けん,None,None,見学する,けんがくする,"To Observe, To Research",私たちは工場を見学しました。,We toured the factory.,,,,,,,,,,,,,,,,,,,,,,,,,,"けん,りょう,きょう,しょう",,,,,,"[{'私': 'わたし'}, {'工場': 'こうじょう'}, {'見学': 'けんがく'}]",,,,,,1
15,年,None,ねん,None,None,一年生,いちねんせい,First Year Student,一年生は大変でしょう。,It must be hard being a first-year student.,,,,,,,,,,,,,,,,,,,,,,,,,,"ねん, にん, へん, せん",,,,,,"[{'一年生': 'いちねんせい'}, {'大変': 'たいへん'}]",,,,,,1
16,生,None,せい,しょう,None,人生,じんせい,Life,彼の人生は楽しそうだ。,His life looks fun.,生年月日,せいねんがっぴ,Date of birth,学校の入学フォームに生年月日を書いてください。,Please write your date of birth on the school admission form.,一生,いっしょう,Lifetime,これは一生の思い出です。,This is a lifetime memory.,,,,,,,,,,,,,,,,"せい,しょう,じょう,さい","せい,しょう,そう,さい","しょう,しょ,そ,こう",,,,"[{'彼': 'かれ'}, {'人生': 'じんせい'}, {'楽': 'たの'}]","[{'学校': 'がっこう'}, {'入学': 'にゅうがく'}, {'生年月日': 'せいねんがっぴ'}, {'書': 'か'}]","[{'一生': 'いっしょう'}, {'思': 'おも'}, {'出': 'で'}]",,,,1
17,五,None,ご,None,None,五,ご,"Five, 5",娘は今年五才になった。,My daughter turned five years old this year.,五月,ごがつ,May,彼の誕生日は五月です。,His birthday is in May.,,,,,,,,,,,,,,,,,,,,,"ご,ろく,し,よ","ご,ごう,ごん,こ",,,,,"[{'娘': 'むすめ'}, {'今年': 'ことし'}, {'五': 'ご'}, {'才': 'さい'}]","[{'彼': 'かれ'}, {'誕生日': 'たんじょうび'}, {'五月': 'ごがつ'}]",,,,,1
18,上,None,じょう,None,None,上下//げ//,じょうげ,top and bottom,スーツを上下セットでください。,"I'd like a matching set of the suit, both the jacket and pants, please.",,,,,,,,,,,,,,,,,,,,,,,,,,"じょう,しょう,かみ,て",,,,,,"[{'上': 'じょう'}, {'下': 'げ'}]",,,,,,1
19,力,None,りょく,りき,None,学力,がくりょく,academic ability,学力が上がった,My academic ability has improved,自//じ//力,じりき,By oneself,自力で大学に合格した。,I passed the university entrance exam by myself,,,,,,,,,,,,,,,,,,,,,"りょく,りゅう,りん,るく","りき,りく,か,りか",,,,,"[{'学力': 'がくりょく'}, {'上': 'あ'}]","[{'自力': 'じりき'}, {'大学': 'だいがく'}, {'合格': 'ごうかく'}]",,,,,1
20,四,None,し,None,None,四国//こく//,しこく,Shikoku,今年、四国に旅行します。,"This year, I'll go to Shikoku.",四月,しがつ,April,四月は桜がとてもきれいです。,The cherry blossoms are very beautiful in April.,,,,,,,,,,,,,,,,,,,,,"し,よん,いち,しち","し,よん,ご,はち",,,,,"[{'今年': 'ことし'}, {'四国': 'しこく'}, {'旅行': 'りょこう'}]","[{'四月': 'しがつ'}, {'桜': 'さくら'}]",,,,,1
21,金,None,きん,こん,None,金色//いろ//,きんいろ,Gold,好きな色は何? 金色だよ!,What's your favorite color? It's gold!,金曜//よう//日,きんようび,Friday,やっと金曜日だね！,Thank God it's Friday.,大金,たいきん,"A fortune, A large sum of money",宝くじで大金を手に入れた。,I won a fortune in the lottery.,,,,,,,,,,,,,,,,"きん,ぎん,けん,こん","きん,こん,ぎょく,こう","きん,こん,ぎん,かん",,,,"[{'好': 'す'}, {'色': 'いろ'}, {'何': 'なに'}, {'金': 'きん'}, {'色': 'いろ'}]",[{'金曜日': 'きんようび'}],"[{'宝': 'たから'},{'大金': 'たいきん'}, {'手': 'て'}, {'入': 'い'}]",,,,2
22,九,None,きゅう,く,None,九,きゅう,Nine,子どもは九歳です。,The child is nine years old.,九人,きゅうにん,Nine people,野球は九人でするスポーツです。,Baseball is a sport played by nine people.,九月,くがつ,September,子供が九月に生まれた。,My child was born in September.,,,,,,,,,,,,,,,,"きゅう, く, こう, けん","きゅう,くう,きょう,こう","く,きゅう,こ,ここの",,,,"[{'子': 'こ'}, {'九': 'きゅう'}, {'歳': 'さい'}]","[{'野球': 'やきゅう'}, {'九': 'きゅう'}, {'人': 'にん'}]","[{'子供': 'こども'}, {'九月': 'くがつ'}, {'生': 'う'}]",,,,2
23,入,None,にゅう,None,None,入学,にゅうがく,"School admission, enrollment",私の弟は九月に大学に入学します。,My younger brother will enroll in university in September.,入金,にゅうきん,"Deposit, Payment",入金が確認できました。,The payment has been confirmed.,,,,,,,,,,,,,,,,,,,,,"にゅう,にょう,いり,じゅう","にゅう,にょ,にゅ,じゅう",,,,,"[{'私': 'わたし'}, {'弟': 'おとうと'}, {'九月': 'くがつ'}, {'大学': 'だいがく'}, {'入学': 'にゅうがく'}]","[{'入金': 'にゅうきん'}, {'確認': 'かくにん'}]",,,,,2
24,立,None,りつ,None,None,独//どく//立,どくりつ,independence,彼は会社を辞めて独立した。,He quit the company and became independent,,,,,,,,,,,,,,,,,,,,,,,,,,"りつ,りゅう,たつ,りき",,,,,,"[{'彼': 'かれ'}, {'会社': 'かいしゃ'}, {'辞': 'や'}, {'独立': 'どくりつ'}]",,,,,,2
25,手,None,しゅ,ず,None,入手,にゅうしゅ,"Obtain, Acquire",新しいゲームをようやく入手できた。,I was finally able to get the new game.,上手,じょうず,Skilled,"彼女はピアノが上手で、コンサートで演奏します。(Irregular, but Nihongo jouzu desu ne. You'll hear this a lot.)",She is so good at playing the piano that she performs at concerts.,,,,,,,,,,,,,,,,,,,,,"しゅ,しゃ,ず,て",,,,,,"[{'新': 'あたら'}, {'入手': 'にゅうしゅ'}]","[{'彼女': 'かのじょ'}, {'上手': 'じょうず'}, {'演奏': 'えんそう'}]",,,,,2
26,田,None,でん,None,None,水//すい//田,すいでん,"Rice Field, Rice Paddy",一面に水田が広がっている。,Paddy fields stretch out as far as the eye can see,,,,,,,,,,,,,,,,,,,,,,,,,,"でん,だん,てん,たん",,,,,,"[{'一面': 'いちめん'}, {'水田': 'すいでん'}, {'広': 'ひろ'}]",,,,,,2
27,円,None,えん,None,None,百//ひゃく//円,ひゃくえん,100 Yen,百円ショップで色々なものを買いました。,I bought various things at the 100-yen shop,円,えん,Circle,円を描いてください。,Please draw a circle.,,,,,,,,,,,,,,,,,,,,,"えん,えい,えいん,えつ","えん,いん,うん,あん",,,,,"[{'百': 'ひゃく'}, {'円': 'えん'}, {'色々': 'いろいろ'}, {'買': 'か'}]","[{'円': 'えん'}, {'描': 'か'}]",,,,,2
28,子,None,し,None,None,女//じょ//子,じょし,"Girl, Young woman",昨日、女子サッカーの試合を見ました。,"Yesterday, I watched a women’s soccer match.",男//だん//子,だんし,"Young Boy, Boy",やばい！今は男子トイレが使えない。,Oh no! The men's restroom is out of service right now.,,,,,,,,,,,,,,,,,,,,,"し,じ,す,こ","し,こ,じ,す",,,,,"[{'昨日': 'きのう'}, {'女子': 'じょし'}, {'試合': 'しあい'}, {'見': 'み'}]","[{'今': 'いま'}, {'男子': 'だんし'},{'使': 'つか'}]",,,,,2
29,目,None,もく,None,None,目的//てき//,もくてき,"Purpose, Goal",今日の目的は家を掃除することです。,Today's goal is to clean the house.,,,,,,,,,,,,,,,,,,,,,,,,,,"もく,ぼく,だく,きょく",,,,,,"[{'今日': 'きょう'}, {'目的': 'もくてき'}, {'家': 'いえ'}, {'掃除': 'そうじ'}]",,,,,,2
30,八,None,はち,None,None,八,はち,"Eight, 8",彼は毎朝八時に会社に行きます。,He goes to work at 8 a.m. every morning.,八月,はちがつ,August,東京って八月めっちゃ暑いのに、なんで男の人は短パン履かないんだろう？,"Even though it's really hot in Tokyo in August, why don't men wear shorts?",,,,,,,,,,,,,,,,,,,,,"はち,ぱち,はつ,ばつ","はち, ご, しち, さち",,,,,"[{'彼': 'かれ'}, {'毎朝': 'まいあさ'}, {'八': 'はち'}, {'時': 'じ'}, {'会社': 'かいしゃ'}, {'行': 'い'}]","[{'東京': 'とうきょう'}, {'八月': 'はちがつ'}, {'暑': 'あつ'}, {'男': 'おとこ'}, {'人': 'ひと'}, {'短': 'たん'}, {'履': 'は'}]",,,,,2
31,六,None,ろく,None,None,六,ろく,"Six, 6",バナナを六本買いました。(I'm sorry I couldn't think of anything better. You get it though its just a number. Memorize it.),I bought six bananas.,六月,ろくがつ,June,六月は雨の日が多い。,There are many rainy days in June.,,,,,,,,,,,,,,,,,,,,,"ろく,りき,ごく,しこ","ろく,しち,はち,ご",,,,,"[{'六': 'ろっ'}, {'本': 'ぽん'}, {'買': 'か'}]","[{'六月': 'ろくがつ'}, {'雨': 'あめ'}, {'日': 'ひ'}, {'多': 'おお'}]",,,,,2
32,正,None,せい,しょう,None,正解//かい//,せいかい,Correct Answer,その正解は何ですか？,What is the correct answer?,正直//じき//,しょうじき,Honest,正直に言うと、その映画はあまり面白くなかった。,"To be honest, the movie wasn't very interesting.",,,,,,,,,,,,,,,,,,,,,"せい,しょう,しょ,しゅう","しょう,せい,さい,しょ",,,,,"[{'正解': 'せいかい'}, {'何': 'なん'}]","[{'正直': 'しょうじき'}, {'言': 'い'}, {'映画': 'えいが'}, {'面白': 'おもしろ'}]",,,,,2
33,川,None,せん,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
34,気,None,き,け,None,人気,にんき,Popular,彼女は最近とても人気がある女優です。,She is a very popular actress lately.,気に入る,きにいる,"To be pleased with, To like",昨日見た映画は、最初はあまり気に入らなかったけど、最後は面白かったです。,"At first, I didn’t like the movie I watched yesterday, but in the end it turned out to be interesting.",,,,,,,,,,,,,,,,,,,,,"き,けい,つき,く",,,,,,"[{'彼女': 'かのじょ'}, {'最近': 'さいきん'}, {'人気': 'にんき'}, {'女優': 'じょゆう'}]","[{'昨日': 'きのう'}, {'見': 'み'}, {'映画': 'えいが'}, {'最初': 'さいしょ'}, {'気': 'き'}, {'入': 'い'}, {'最後': 'さいご'}, {'面白': 'おもしろ'}]",,,,,2
35,小,None,しょう,None,None,小学生,しょうがくせい,Elementary school student,私は来年、小学生になります。とても楽しみにしています。,"Next year, I will become an elementary school student. I’m really looking forward to it.",,,,,,,,,,,,,,,,,,,,,,,,,,"しょう,さ,せい,しょうがく",,,,,,"[{'私': 'わたし'}, {'来年': 'らいねん'}, {'小学'生: 'しょうがくせい'}, {'楽': 'たの'}]",,,,,,2
36,山,None,さん,None,None,富//ふ//士//じ//山,ふじさん,Mount Fuji,東京を出る新幹線で右側に座ると、富士山が見えますよ。(True statement. It's a must see. On a clear day you'll be blown away.),"If you sit on the right side of the Shinkansen leaving Tokyo, you can see Mount Fuji.",,,,,,,,,,,,,,,,,,,,,,,,,,"さん,そん,せん,しん",,,,,,"[{'東京': 'とうきょう'}, {'出': 'で'}, {'新幹線': 'しんかんせん'}, {'右側': 'みぎがわ'}, {'座': 'すわ'}, {'富': 'ふ'}, {'士': 'じ'}, {'山': 'さん'}, {'見': 'み'}]",,,,,,2
37,文,None,ぶん,もん,None,文学,ぶんがく,Literature,彼は文学に興味があり、よく本を読みます。,He is interested in literature and often reads books.,文,ぶん,Sentence,一つの文にまとめることが難しい。,It's difficult to summarize it in just one sentence.,,,,,,,,,,,,,,,,,,,,,"ぶん,もん,ぼん,ばん","ぶん,ふん,もん,ほん",,,,,"[{'彼': 'かれ'}, {'文学': 'ぶんがく'}, {'興味': 'きょうみ'}, {'本': 'ほん'}, {'読': 'よ'}]","[{'一': 'ひと'}, {'文': 'ぶん'}, {'難': 'むずか'}]",,,,,2
38,女,None,じょ,にょ,None,少女,しょうじょ,Young girl,"私は少女漫画が好きで、毎週新しい作品を読んでいます。(Formal, mostly in written context. Used for an tween/teenage girl)","I like shoujo manga, and I read new works every week.",女性//せい//,じょせい,Woman,ここは女性しか入れません。,Only women are allowed to enter here,,,,,,,,,,,,,,,,,,,,,"じょ,じゅ,しょ,にょ","じょ,にょ,おんな,め",,,,,"[{'私': 'わたし'}, {'少女': 'しょうじょ'}, {'漫画': 'まんが'}, {'好': 'す'}, {'毎週': 'まいしゅう'}, {'新': 'あたら'}, {'作品': 'さくひん'}, {'読': 'よ'}]","[{'女性': 'じょせい'}, {'入': 'はい'}]",,,,,2
39,百,None,ひゃく,None,None,百,ひゃく,"Hundred, 100",このバッグは百円でした。,This bag was 100 yen.,三百円,さんびゃくえん,"300 Yen, Three hundred Yen","京都から奈良までのバスのチケットは、たった三百円でした。(When it comes to 300, ""百"" is pronounced as ""byaku"".)",The bus ticket from Kyoto to Nara was only 300 yen.,八百人,はっぴゃくにん,800 people,"この学校には八百人の子供がいる。(In the case of ""六百"" and ""八百"", ""百"" is pronounced as ""ppyaku"".)",There are 800 children in this school.,,,,,,,,,,,,,,,,"ひゃく, びゃく, ぴゃく, ひゃっ","びゃく,ひゃく,はく,ぱく","ぴゃく,ひゃく,びゃく,はく",,,,[{'百円': 'ひゃくえん'}],"[{'京': 'きょう'}, {'都': 'と'}, {'奈': 'な'}, {'良': 'ら'}, {'三': 'さん'}, {'百': 'びゃく'}, {'円': 'えん'}]","[{'学': 'がっ'}, {'校': 'こう'}, {'八': 'はっ'}, {'百': 'ぴゃく'}, {'人': 'にん'}, {'子': 'こ'}, {'供': 'ども'}]",,,,2
40,石,None,せき,None,None,化//か//石,かせき,fossil,川の近くで、貝の化石を見つけた。,I found a fossil of a shell near the river,,,,,,,,,,,,,,,,,,,,,,,,,,"せき,いし,こく,しき",,,,,,"[{'川': 'かわ'}, {'近': 'ちか'}, {'貝': 'かい'}, {'化石': 'かせき'}, {'見': 'み'}]",,,,,,2
41,先,None,せん,None,None,先生,せんせい,"Teacher, Master",お気に入りの先生の漢字は「OniKanji」だよ。(Awww thanks.),My favorite kanji for teacher is 'OniKanji'!,先月,せんげつ,Last month,先月、まりこは休みでカリフォルニアに行きました。,"Last month, Mariko went to California for holiday.",先日,せんじつ,The other day,先日、友達に会いました。,"The other day, I met a friend.",,,,,,,,,,,,,,,,"せん,せい,しゅん,ひん","せん,しん,ぜん,さん","せん,しん,ぜん,さん",,,,"[{'気': 'き'}, {'入': 'い'}, {'先': 'せん'}, {'生': 'せい'}, {'漢字': 'かんじ'}]","[{'先月': 'せんげつ'}, {'休': 'やす'}, {'行': 'い'}]","[{'先日': 'せんじつ'}, {'友達': 'ともだち'}, {'会': 'あ'}]",,,,3
42,名,None,めい,みょう,None,名人,めいじん,"Expert, Master",私は円を描く名人です。,I am a master at drawing circles,名字//じ//,みょうじ,Surname,彼の名字は田中です。,His family name is Tanaka.,,,,,,,,,,,,,,,,,,,,,"めい,みょう,な,み","みょう,ぼう,せい,じょう",,,,,"[{'私': 'わたし'}, {'円': 'えん'}, {'描': 'か'}, {'名人': 'めいじん'}]","[{'彼': 'かれ'}, {'名字': 'みょうじ'}, {'田中': 'たなか'}]",,,,,3
43,村,None,そん,None,None,市//し//町//ちょう//村,しちょうそん,"Municipalites, Localities",日本には多くの市町村があります。,"There are many cities, towns, and villages in Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,"そん,むら,せん,さん",,,,,,"[{'日本': 'にほん'}, {'多': 'おお'}, {'市町村': 'しちょうそん'}]",,,,,,3
44,千,None,None,None,None,千,せん,Thousand,千円のお返しです。(Imagine this in that いらっしゃいませ voice when you walk into any store),"Your change is 1,000 yen.",,,,,,,,,,,,,,,,,,,,,,,,,,"せん,けん,さん,いち",,,,,,"[{'千': 'せん'}, {'円': 'えん'}, {'返': 'かえ'}]",,,,,,3
45,町,None,ちょう,None,None,町立,ちょうりつ,"Municipal, Town-run",町立図書館は、駅の近くにあります。,The municipal library is near the station.,,,,,,,,,,,,,,,,,,,,,,,,,,"ちょう,じょう,しん,ちつ",,,,,,"[{'町': 'ちょう'}, {'立': 'りつ'}, {'図': 'と'}, {'書': 'しょ'}, {'館': 'かん'}, {'駅': 'えき'}, {'近': 'ちか'}]",,,,,,3
46,水,None,すい,None,None,水曜//よう//日,すいようび,Wednesday,水曜日に学校があります。,I have school on Wednesday.,水中,すいちゅう,Underwater,水中でどれくらい泳げる?,How long can you swim underwater?,水分//ぶん//,すいぶん,"Moisture, Water Content, Hydration",夏は水分を多めに取るようにしてください,Please make sure to drink plenty of water in the summer.,,,,,,,,,,,,,,,,"すい,ずい,さい,しゅい","すい,しゅう,せい,しょう","すい,しゅう,せい,しょう",,,,"[{'水曜日': 'すいようび'}, {'学校': 'がっこう'}]","[{'水中': 'すいちゅう'}, {'泳': 'およ'}]","[{'夏': 'なつ'}, {'水分': 'すいぶん'}, {'多': 'おお'}, {'取': 'と'}]",,,,3
47,男,None,だん,なん,None,男子,だんし,"Young boy, Boy",男子チームが優勝しました。,The boys' team won the championship.,男女,だんじょ,Men and Women,このクラスには男女がほぼ同じ人数います。,There are almost an equal number of boys and girls in this class.,長//ちょう//男,ちょうなん,eldest son,彼は家族の長男です。,He is the eldest son in the family.,,,,,,,,,,,,,,,,"だん,てん,なん,たん","だん,なん,たん,かん","なん,だん,おとこ,らん",,,,"[{'男子': 'だんし'}, {'優勝': 'ゆうしょう'}]","[{'男': 'だん'}, {'女': 'じょ'}, {'同': 'おな'}, {'人': 'にん'}, {'数': 'ずう'}]","[{'彼': 'かれ'}, {'家族': 'かぞく'}, {'長男': 'ちょうなん'}]",,,,3
48,口,None,こう,None,None,人口,じんこう,Population,この町の人口は千人です。,"The population of this town is 1,000 people.",,,,,,,,,,,,,,,,,,,,,,,,,,"こう,く,ごう,ぐち",,,,,,"[{'町': 'まち'}, {'人口': 'じんこう'}, {'千': 'せん'}, {'人': 'にん'}]",,,,,,3
49,校,None,こう,None,None,学校,がっこう,School,学校では英語や数学など、いろいろな科目を学びます。,"At school, we learn various subjects like English and math.",,,,,,,,,,,,,,,,,,,,,,,,,,"こう,けい,ごう,こそ",,,,,,"[{'学校': 'がっこう'}, {'英語': 'えいご'}, {'数学': 'すうがく'}, {'科目': 'かもく'}, {'学': 'まな'}]",,,,,,3
50,竹,None,ちく,None,None,竹林,ちくりん,Bamboo grove,嵐山竹林は、とても美しい観光地です。(You'll see this arround with regards to scenary and nature.),The Arashiyama Bamboo Grove is a very beautiful tourist spot.,,,,,,,,,,,,,,,,,,,,,,,,,,"ちく,たく,しょく,しゅく",,,,,,"[{'嵐山': 'あらしやま'}, {'竹林': 'ちくりん'}, {'美': 'うつく'}, {'観光地': 'かんこうち'}]",,,,,,3
51,早,None,そう,None,None,早々,そうそう,As soon as,早々にお知らせできず、申し訳ありませんでした。(Formal - Will see in written text moreso than spoken),I apologize for not informing you as soon as possible.,,,,,,,,,,,,,,,,,,,,,,,,,,"そう,しょう,しん,さく",,,,,,"[{'早々': 'そうそう'}, {'知': 'し'}, {'申': 'もう'}, {'訳': 'わけ'}]",,,,,,3
52,空,None,くう,None,None,空気,くうき,Air,山の空気は新鮮です。,The mountain air is crisp.,,,,,,,,,,,,,,,,,,,,,,,,,,"くう,こく,けい,せい",,,,,,"[{'山': 'やま'}, {'空気': 'くうき'}, {'新鮮': 'しんせん'}]",,,,,,3
53,土,None,ど,と,None,土曜//よう//日,どようび,Saturday,土曜日は最高だね。だよね！,"Saturday is the best, right? Totally!",土地//ち//,とち,Land,彼は広い土地を持っています。,He owns a large piece of land.,,,,,,,,,,,,,,,,,,,,,"ど, と, つち, どく","と,ど,つち,ち",,,,,"[{'土曜日': 'どようび'}, {'最高': 'さいこう'}]","[{'彼': 'かれ'}, {'広': 'ひろ'}, {'土地': 'とち'}, {'持': 'も'}]",,,,,3
