kanjiID,kanji,authorsNote,kunyomiReadingOne,kunyomiReadingTwo,kunyomiReadingThree,kunyomiVocabWordOne,kunyomiVocabWordReadingOne,kunyomiVocabWordMeaningOne,kunyomiSampleSentenceOne,kunyomiSampleSentenceMeaningOne,kunyomiVocabWordTwo,kunyomiVocabWordReadingTwo,kunyomiVocabWordMeaningTwo,kunyomiSampleSentenceTwo,kunyomiSampleSentenceMeaningTwo,kunyomiVocabWordThree,kunyomiVocabWordReadingThree,kunyomiVocabWordMeaningThree,kunyomiSampleSentenceThree,kunyomiSampleSentenceMeaningThree,kunyomiVocabWordFour,kunyomiVocabWordReadingFour,kunyomiVocabWordMeaningFour,kunyomiSampleSentenceFour,kunyomiSampleSentenceMeaningFour,kunyomiVocabWordFive,kunyomiVocabWordReadingFive,kunyomiVocabWordMeaningFive,kunyomiSampleSentenceFive,kunyomiSampleSentenceMeaningFive,kunyomiVocabWordSix,kunyomiVocabWordReadingSix,kunyomiVocabWordMeaningSix,kunyomiSampleSentenceSix,kunyomiSampleSentenceMeaningSix,kunyomiMultipleChoiceReadingOne,kunyomiMultipleChoiceReadingTwo,kunyomiMultipleChoiceReadingThree,kunyomiMultipleChoiceReadingFour,kunyomiMultipleChoiceReadingFive,kunyomiMultipleChoiceReadingSix,furiganaKunyomiSampleSentenceOne,furiganaKunyomiSampleSentenceTwo,furiganaKunyomiSampleSentenceThree,furiganaKunyomiSampleSentenceFour,furiganaKunyomiSampleSentenceFive,furiganaKunyomiSampleSentenceSix,associatedLevel
11,学,None,まな,None,None,学ぶ,まなぶ,"To study, To learn",毎日新しい漢字を学ぶことが大切なんですよ。,It's important to learn new kanji every day.,,,,,,,,,,,,,,,,,,,,,,,,,,"まな,がく,まし,みん",,,,,,"[{'毎日': 'まいにち'}, {'新': 'あたら'}, {'漢字': 'かんじ'}, {'学': 'まな'}, {'大切': 'たいせつ'}]",,,,,,1
12,出,None,で,だ,None,出る,でる,"To go out, To exit , To Leave",家を出る時間だよ。,It's time to leave the house.,出す,だす,"To take out, To put out",ゴミを出すのを忘れないでね,Don't forget to take out the trash.,日の出,ひので,Sunrise,一緒に日の出を見に行きませんか？,Will you come see the sunrise with me?,,,,,,,,,,,,,,,,"で,いで,た,だす","だ,た,で,て","で,だ,る,しゅつ",,,,"[{'家': 'いえ'}, {'出': 'で'}, {'時間': 'じかん'}]","[{'出': 'だ'}, {'忘': 'わす'}]","[{'一緒': 'いっしょ'}, {'日': 'ひ'}, {'出': 'で'}, {'見': 'み'}, {'行': 'い'}]",,,,1
13,三,None,み,みっ,None,三つ,みっつ,Three things,クッキーを三つ食べました,I ate three cookies.,三日,みっか,"Third day, Three days",私は三日間休みました。,I took three days off.,三日目//め//,みっかめ,The third day,今日はダイエット三日目です。,Today is the third day of my diet.,,,,,,,,,,,,,,,,"みっ,さん,みつき,みと","みっ, さん, よっ, いっ","みっ,さん,いつ,こ",,,,"[{'三': 'みっ'}, {'食': 'た'}]","[{'私': 'わたし'}, {'三日間': 'みっかかん'}, {'休': 'やす'}]","[{'今日': 'きょう'}, {'三日': 'みっか'}, {'目': 'め'}]",,,,1
14,見,None,み,None,None,見る,みる,"To see, To look",映画を見るのが好きですか？,Do you like watching movies?,見せる,みせる,To show,新しい写真を見せて！,Show me the new photos!,見える,みえる,"To Be Visible, To Be Seen",富士山が見えますか。,Can you see Mt. Fuji?,,,,,,,,,,,,,,,,"み,みせ,みち,けん","み,みせ,みる,みた","み,ま,も,め",,,,"[{'映画': 'えいが'}, {'見': 'み'}, {'好': 'す'}]","[{'新': 'あたら'}, {'写真': 'しゃしん'}, {'見': 'み'}]","[{'富': 'ふ'}, {'士': 'じ'}, {'山': 'さん'}, {'見': 'み'}]",,,,1
15,年,None,とし,None,None,年,とし,"Year, Age",毎年、新しい年が始まるときに目標を立てます。,"Every year when a new year begins, I set goals.",,,,,,,,,,,,,,,,,,,,,,,,,,"とし, とま, ねん, なか",,,,,,"[{'毎年': 'まいとし'}, {'新': 'あたら'}, {'年': 'とし'}, {'始': 'はじ'}, {'目標': 'もくひょう'}, {'立': 'た'}]",,,,,,1
16,生,None,い,う,なま,生きる,いきる,"To live, to exist",彼は都市で生きるのがとても楽しいと言っていた。,He said that living in the city is very enjoyable.,生まれる,うまれる,To be born,彼は新幹線が初めて開通した年に生まれた。,He was born in the year the Shinkansen first opened.,生ビール,なまビール,Draft beer,生ビールをください。,"I'll have a draft beer, please.",,,,,,,,,,,,,,,,"い,う,なま,せい","う,なま,じょう,いき","なま,せい,いき,うぶ",,,,"[{'彼': 'かれ'}, {'都市': 'とし'}, {'生': 'い'}, {'三': 'みっ'}, {'言': 'い'}, {'楽': 'たの'}]","[{'彼': 'かれ'}, {'新幹線': 'しんかんせん'}, {'初': 'はじ'}, {'開通': 'かいつう'}, {'年': 'とし'}, {'生': 'う'}]",[ {'生': 'なま'}],,,,1
17,五,None,いつ,None,None,五つ,いつつ,Five things,りんごを五つ買いました,I bought five apples.,五日,いつか,"Five days,The fifth day",五月五日は子どもの日,May 5th is Children's Day.,,,,,,,,,,,,,,,,,,,,,"いつ,いち,にち,ご","いつ,ふつ,いち,ふち",,,,,"[{'五': 'いつ'}, {'買': 'か'}]","[{'五月': 'ごがつ'}, {'五日': 'いつか'}, {'子': 'こ'}, {'日': 'ひ'}]",,,,,1
18,上,None,うえ,あ,うわ,上,うえ,"Above, up",本は机の上にあります。,The book is on the table.,上がる,あがる,"To rise, to go up",エレベーターで五階に上がります。,I go up to the fifth floor by elevator.,上着,うわぎ,"Jacket, Coat, Outer",この上着は新しいです。,This jacket is new.,年上,としうえ,Older,彼は私より年上です。,He is older than me.,,,,,,,,,,,"うえ,あげ,のぼ,かみ","あ, うえ, あま, のぼ","うわ,じょう,あげ,うえ","うえ,した,うん,じょう",,,"[{'本': 'ほん'}, {'机': 'つくえ'}, {'上': 'うえ'}]","[{'五階': 'ごかい'}, {'上': 'あ'}]","[{'上着': 'うわぎ'}, {'新': 'あたら'}]","[{'彼': 'かれ'}, {'私': 'わたし'}, {'年上': 'としうえ'}]",,,1
19,力,None,ちから,None,None,力,ちから,"Strength, Power",このドアは力がないと開けられない。,You need strength to open this door.,,,,,,,,,,,,,,,,,,,,,,,,,,"ちから,つよ,りょく,りき",,,,,,"[{'力': 'ちから'}, {'開': 'あ'}]",,,,,,1
20,四,None,よっ,よ,よん,四つ,よっつ,Four things,背中の後ろに四つのものがあります。,I have four things behind my back.,四人,よにん,Four people,私たちは四人家族です。,We are a family of four,四十,よんじゅう,Forty,クラスには四十人います。,There are forty people in the class,,,,,,,,,,,,,,,,"よっ,し,ほん,こ","よ,し,つ,こ","よん,よ,よつ,よう",,,,"[{'背中': 'せなか'}, {'後': 'うし'}, {'四': 'よっ'}]","[{'私': 'わたし'}, {'四': 'よ'}, {'人': 'にん'}, {'家族': 'かぞく'}]","[{'四': 'よん'}, {'十': 'じゅう'}, {'人': 'にん'}]",,,,1
21,金,None,かね,かな,None,お金,おかね,"Money, metal",お金がないので、旅行に行けません。,I can't go on a trip because I don't have money.,,,,,,,,,,,,,,,,,,,,,,,,,,"かね,さね,かな,こね",,,,,,"[{'金': 'かね'}, {'旅行': 'りょこう'}, {'行': 'い'}]",,,,,,2
22,九,None,ここの,None,None,九つ,ここのつ,Nine things,先生、九つ質問がありますが、大丈夫ですか？,"Sensei, I have nine questions, is that okay?",九日,ここのか,"the ninth day,nine days",今日は九日です。,Today is the ninth day.,,,,,,,,,,,,,,,,,,,,,"ここの, ここ, なの, しち",,,,,,"[{'先': 'せん'}, {'生': 'せい'}, {'九': 'ここの'}, {'質': 'しつ'}, {'問': 'もん'}, {'大丈': 'だいじょう'}, {'夫': 'ぶ'}]","[{'今日': 'きょう'}, {'九日': 'ここのか'}]",,,,,2
23,入,None,はい,い,None,入る,はいる,"To enter, Get in",お風呂に入りましょう。,Let's take a bath.,入れる,いれる,"To put in, To insert",コーヒーに砂糖を入れました。,I put sugar in the coffee.,,,,,,,,,,,,,,,,,,,,,"はい,いる,いり,い","い,いり,はいる,いる",,,,,"[{'風呂': 'ふろ'}, {'入': 'はい'}]","[{'砂糖': 'さとう'}, {'入': 'い'}]",,,,,2
24,立,None,た,None,None,立つ,たつ,To stand,バスが来たので、立ち上がった,I stood up because the bus arrived.,立てる,たてる,"To stand something up, To set up, To erect",テントを立てるのが難しかった。,It was difficult to set up the tent.,,,,,,,,,,,,,,,,,,,,,"た,だ,し,つ","た,たつ,だて,りつ",,,,,"[{'来': 'き'}, {'立': 'た'}, {'上': 'あ'}]","[{'立': 'た'}, {'難': 'むずか'}]",,,,,2
25,手,None,て,None,None,手,て,Hand,ちゃんと手を洗っておいてくださいね。,Please make sure to wash your hands properly.,,,,,,,,,,,,,,,,,,,,,,,,,,"て,た,てい,しゅ",,,,,,"[{'手': 'て'}, {'洗': 'あら'}]",,,,,,2
26,田,None,た,None,None,田んぼ,たんぼ,"Rice field, Rice Paddy",田んぼでお米を作っています。,We are growing rice in the rice field.,田中,たなか,Tanaka,"田中さんは年上です。(The character '田' is often used in people's surnames, such as ”吉田”Yoshida and ”山田”Yamada. In these cases, the reading changes to 'da.')",Mr. Tanaka is older.,,,,,,,,,,,,,,,,,,,,,"た,だ,なか,か","た,だ,でん,で",,,,,"[{'田': 'た'}, {'米': 'こめ'}, {'作': 'つく'}]","[{'田中': 'たなか'}, {'年上': 'としうえ'}]",,,,,2
27,円,None,まる,None,None,円い,まるい,"Round, Circular",このテーブルは円い形をしています。,This table has a round shape.,,,,,,,,,,,,,,,,,,,,,,,,,,"まる,むり,まい,もん",,,,,,"[{'円': 'まる'}, {'形': 'かたち'}]",,,,,,2
28,子,None,こ,None,None,子供//ども//,こども,Child,子供が小学校に入学した。,My child entered elementary school,,,,,,,,,,,,,,,,,,,,,,,,,,"こ,きょ,ちゅ,つよ",,,,,,"[{'子供': 'こども'}, {'小学校': 'しょうがっこう'}, {'入学': 'にゅうがく'}]",,,,,,2
29,目,None,め,None,None,目,め,Eye,漢字を勉強しすぎて目が痛くなった。,My eyes hurt from studying too much kanji.,目立つ,めだつ,Stand out,彼はいつも目立っていた。,He always stood out.,,,,,,,,,,,,,,,,,,,,,"め,け,ね,み","め,もく,ま,み",,,,,"[{'漢字': 'かんじ'}, {'勉強': 'べんきょう'}, {'目': 'め'}, {'痛': 'いた'}]","[{'彼': 'かれ'}, {'目立': 'めだ'}]",,,,,2
30,八,None,や,よう,None,八つ,やっつ,Eight things,八つもみかん食べちゃった！,I ended up eating eight mandarin oranges!,八日,ようか,"the 8th, eight days",八日間、旅行に行ってきます。,,,,,,,,,,,,,,,,,,,,,,"やっ,ろっ,にっ,はっ","よう,はっ,よつ,よっ",,,,,"[{'八': 'やっ'}, {'食': 'た'}]","[{'八日': 'ようか'}, {'間': 'かん'}, {'旅行': 'りょこう'}, {'行': 'い'}]",,,,,2
31,六,None,む,むい,None,六つ,むっつ,Six things,お菓子を六つください。,Please give me six pieces of candy.,六日,むいか,"Six days, Sixth day",六日に友達とデートをします。,I have a date with my friend on the sixth.,,,,,,,,,,,,,,,,,,,,,"むっ,む,むい,ろく","むい,む,つい,ろく",,,,,"[{'菓子': 'かし'}, {'六': 'むっ'}]","[{'六': 'むい'}, {'日': 'か'}, {'友達': 'ともだち'}]",,,,,2
32,正,None,ただ,まさ,None,正しい,ただしい,"Correct, Right",あなたの答えは正しいです。,Your answer is correct.,正す,ただす,To correct,彼は自分の間違いを正しました。,He corrected his mistake.,正に,まさに,"Just, Exactly, Surely",正にその通りです。,That's exactly right.,,,,,,,,,,,,,,,,"ただ,まさ,じょう,しょう","ただ,せい,しょ,しょう","まさ,ただ,しょう,せい",,,,"[{'答': 'こた'}, {'正': 'ただ'}]","[{'彼': 'かれ'}, {'自分': 'じぶん'}, {'間': 'ま'}, {'違': 'ちが'}, {'正': 'ただ'}]","[{'正': 'まさ'}, {'通': 'とお'}]",,,,2
33,川,None,かわ,None,None,川,かわ,River,私たちは川の近くでバーベキューをしました。,We had a barbecue near the river.,,,,,,,,,,,,,,,,,,,,,,,,,,"かわ,がわ,さわ,でん",,,,,,"[{'私': 'わたし'}, {'川': 'かわ'}, {'近':'ちか'}]",,,,,,2
34,気,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
35,小,None,ちい,こ,お,小さい,ちいさい,"Small, Little",この部屋はとても小さいです。,This room is very small.,小犬//いぬ//,こいぬ,"Small dog, Puppy",小犬が生まれた。,A puppy was born,小川,おがわ,a stream,子供たちは小川のそばで遊んでいます。,The children are playing by the stream.,,,,,,,,,,,,,,,,"ちい,し,ちょ,しょう","こ,しょ,しょう,お","お,こ,しょう,ちい",,,,"[{'部屋': 'へや'}, {'小': 'ちい'}]","[{'小犬': 'こいぬ'}, {'生': 'う'}, {'生まれる': 'うまれる'}]","[{'子供': 'こども'}, {'小川': 'おがわ'}, {'遊': 'あそ'}]",,,,2
36,山,None,やま,None,None,山,やま,Mountain,夏には山にハイキングに行きます。,I go hiking in the mountains during summer.,,,,,,,,,,,,,,,,,,,,,,,,,,"やま,やも,やます,やな",,,,,,"[{'夏': 'なつ'}, {'山': 'やま'}, {'行': 'い'}]",,,,,,2
37,文,Not used much in modern Japanese.,ふみ,None,None,文,ふみ,Letters,"彼女に文を送った。(In the past, people used to call letters ""Fumi"" but its not used much anymore)",I sent her a letter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'彼女': 'かのじょ'}, {'文': 'ふみ'}, {'送': 'おく'}]",,,,,,2
38,女,None,おんな,め,None,女の子,おんなのこ,Girl,女の子はかわいい服を着ています。,The girl is wearing cute clothes.,女,おんな,Woman,"あの女の人は誰ですか？ (Saying ""that lady"" using あの女の人 is more polite than saying ""that woman"" with あの女.)",Who is that woman?,,,,,,,,,,,,,,,,,,,,,"おんな, じょ, おとこ, しょ","おんな,じょ,め,にょ",,,,,"[{'女': 'おんな'}, {'子': 'こ'}, {'服': 'ふく'}, {'着': 'き'}]","[{'女': 'おんな'}, {'人': 'ひと'}, {'誰': 'だれ'}]",,,,,2
39,百,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
40,石,None,いし,None,None,石,いし,Stone,庭に大きな石があります。,There’s a big stone in the garden.,,,,,,,,,,,,,,,,,,,,,,,,,,"いし,こいし,せき,いっし",,,,,,"[{'庭': 'にわ'}, {'大': 'おお'}, {'石': 'いし'}]",,,,,,2
41,先,Watch out for the irregular reading of まず . Its very common and useful.,さき,None,None,先,さき,"Ahead, Previous, Future, Before",この道の先に何がありますか？,What is ahead on this road?,,,,,,,,,,,,,,,,,,,,,,,,,,"さき,しか,さく,せき",,,,,,"[{'道': 'みち'}, {'先': 'さき'}, {'何': 'なに'}, {'有': 'あり'}]",,,,,,3
42,名,None,な,None,None,名前//まえ//,なまえ,Name,あなたの名前は何ですか？,What is your name?,,,,,,,,,,,,,,,,,,,,,,,,,,"な, み, は, め",,,,,,"[{'名前': 'なまえ'}, {'何': 'なん'}]",,,,,,3
43,村,None,むら,None,None,村,むら,Village,少女は小さな村で育ちました。,The girl grew up in a small village,村人,むらびと,Villagers,村人たちは祭りの準備をしています。,The villagers are preparing for the festival.,,,,,,,,,,,,,,,,,,,,,"むら,むり,まり,む","むら,むり,むん,むぬ",,,,,"[{'少女': 'しょうじょ'}, {'小': 'ちい'}, {'村': 'むら'}, {'育': 'そだ'}]","[{'村人': 'むらびと'}, {'祭': 'まつ'}, {'準備': 'じゅんび'}]",,,,,3
44,千,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
45,町,None,まち,None,None,町,まち,"Town, Neighborhood",兄がこの町にきれいな女性が住んでるって教えてくれた。,My older brother told me that there are beautiful women living in this town.,,,,,,,,,,,,,,,,,,,,,,,,,,"まち,とお,みち,うち",,,,,,"[{'兄': 'あに'}, {'町': 'まち'}, {'女性': 'じょせい'}, {'住': 'す'}, {'教': 'おし'}]",,,,,,3
46,水,None,みず,None,None,水,みず,Water,暑い日は冷たい水が美味しいです。,Cold water tastes great on hot days.,水色//いろ//,みずいろ,Light blue,彼女は水色のドレスを着ています。,She is wearing a light blue dress.,,,,,,,,,,,,,,,,,,,,,"みず,みづ,みさ,むず","みず, ふみ, すい, みん",,,,,"[{'暑': 'あつ'}, {'日': 'ひ'}, {'冷': 'つめ'}, {'水': 'みず'}, {'美味': 'おい'}]","[{'彼女': 'かのじょ'}, {'水色': 'みずいろ'}, {'着': 'き'}]",,,,,3
47,男,None,おとこ,None,None,男,おとこ,Man,男の人が部屋に入っていくのを見ました。,I saw a man enter the room.,男の子,おとこのこ,Boy,あの男の子はサッカーがとても上手です。,That boy is very good at soccer.,,,,,,,,,,,,,,,,,,,,,"おとこ,おんな,おと,こ","おとこ,おんな,ことも,おに",,,,,"[{'男': 'おとこ'}, {'人': 'ひと'}, {'部屋': 'へや'}, {'入': 'はい'}, {'見': 'み'}]","[{'男': 'おとこ'}, {'子': 'こ'}, {'上手': 'じょうず'}]",,,,,3
48,口,None,くち,None,None,口,くち,Mouth,口に何か入っていますか？,Do you have something in your mouth?,入り口,いりぐち,Entrance,入り口はこちらです。,The entrance is this way.,出口,でぐち,Exit,出口はあちらです。,The exit is over there.,,,,,,,,,,,,,,,,"くち,く,ち,こう","ぐち,くち,こち,こう","ぐち, くち,こう, ちょう",,,,"[{'口': 'くち'}, {'何': 'なに'}, {'入': 'はい'}]","[{'入': 'い'}, {'口': 'ぐち'}]",[{'出口': 'でぐち'}],,,,3
49,校,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
50,竹,None,"たけ,",None,None,竹,たけ,Bamboo,庭にはたくさんの竹が生えています。,There is a lot of bamboo growing in the garden.,竹の子,たけのこ,Bamboo Shoot,竹の子ご飯を作りました。,I made bamboo shoot rice.,,,,,,,,,,,,,,,,,,,,,"たけ,たけい,ちく,だけ","たけ,たく,ちく,のけ",,,,,"[{'庭': 'にわ'}, {'竹': 'たけ'}, {'生': 'は'}]","[{'竹': 'たけ'}, {'子': 'こ'}, {'飯': 'はん'}, {'作': 'つく'}]",,,,,3
51,早,None,はや,さっ,None,早い,はやい,"Fast, Early",朝は早く起きます。,I wake up early in the morning.,早速//そく//,さっそく,"Immediately, Right away, At once",彼女がメッセージを送ってきたので、早速返事をしました。,"When she texted me, I immediately responded.",,,,,,,,,,,,,,,,,,,,,"はや,ひ,ま,さ","さっ,そう,はや,さ",,,,,"[{'朝': 'あさ'}, {'早': 'はや'}, {'起': 'お'}]","[{'彼女': 'かのじょ'}, {'送': 'おく'}, {'早速': 'さっそく'}, {'返事': 'へんじ'}]",,,,,3
52,空,None,そら,あ,から,空,そら,Sky,今日の空はとても青い。  ,Today's sky is very blue.  ,空く,あく,"To be vacant, to free up",今週末、時間が空いているので一緒に出かけましょう。,"I’m free this weekend, so let’s go out together.",空手,からて,Karate,子供たちは空手のクラスに通っています。,The kids are attending karate classes.,空,から,Empty,この箱は空です。,This box is empty.,,,,,,,,,,,"そら,から,くう,ぞら","あ, う, え, お","から,くう,あき,そら","から,くう,あき,はこ",,,"[{'今日': 'きょう'}, {'空': 'そら'}, {'青': 'あお'}]","[{'今週末': 'こんしゅうまつ'}, {'時間': 'じかん'}, {'空': 'あ'}, {'一緒': 'いっしょ'}, {'出': 'で'}]","[{'子供': 'こども'}, {'空手': 'からて'}, {'通': 'かよ'}]","[{'箱': 'はこ'}, {'空': 'から'}]",,,3
53,土,None,つち,None,None,土,つち,"Soil, Earth, Ground",土の中にはたくさんの虫がいます。,here are many insects in the soil.,,,,,,,,,,,,,,,,,,,,,,,,,,"つち, つき, すち, つじ",,,,,,"[{'土': 'つち'},{'中': 'なか'}, {'虫': 'むし'}]",,,,,,3
54,木,None,き,こ,None,木,き,"Tree, Wood",木を見ながらリラックスするのが好きだよ。,I like relaxing while looking at the trees.,,,,,,,,,,,,,,,,,,,,,,,,,,"き, こ, ぎ, み",,,,,,"[{'木': 'き'}, {'見': 'み'}, {'好': 'す'}]",,,,,,3
55,車,None,くるま,None,None,車,くるま,Car,この車、めっちゃ速いね！,This car is super fast huh.,,,,,,,,,,,,,,,,,,,,,,,,,,"くるま,のり,しゃ,ばしゃ",,,,,,"[{'車': 'くるま'}, {'速': 'はや'}]",,,,,,3
56,王,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
57,足,None,あし,た,None,足,あし,"Foot, Leg",足が痛いので、病院に行きます。,"My leg hurts, so I’m going to the hospital.",足りる,たりる,"To be enough, To suffice",お金が足りないから、アルバイトをします。,"Because I don’t have enough money, I will get a part-time job.",,,,,,,,,,,,,,,,,,,,,"あし,いし,うし,おし","た,と,ち,し",,,,,"[{'足': 'あし'}, {'痛': 'いた'}, {'病院': 'びょういん'}, {'行': 'い'}]","[{'金': 'かね'}, {'足': 'た'}]",,,,,3
58,字,"Theres one example, but its not very common moreso in traditional and educative contexts. Can skip",None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
59,音,None,おと,ね,None,音,おと,Sound,音がうるさくて眠れない,I can't sleep because the noise is too loud,足音,あしおと,Footsteps,彼の足音で、もう帰ってきたってわかった。,I knew he came home just from the sound of his footsteps.,,,,,,,,,,,,,,,,,,,,,"おと,うた,あん,おん","おと,ね,おん,おく",,,,,"[{'音': 'おと'}, {'眠': 'ねむ'}]","[{'彼': 'かれ'}, {'足音': 'あしおと'}, {'帰': 'かえ'}]",,,,,3
